,name,date,null_px,snow_px,cloud_px,shadow_px,vegetation_px,not_vegetation_px,water_px,uncertain_px
90,southern_cairngorms,2023-03-23 11:33:19,0,14128,413591,100548,214776,124623,5292,48313
91,beinn_dearg,2023-03-23 11:33:19,0,0,99548,825,704,1090,0,1494
92,northern_cairngorms,2021-05-30 11:43:51,0,36444,474369,199871,338608,201774,8006,65523
93,monadh_liath,2021-05-30 11:43:51,0,7632,575757,60383,91461,54415,254,61815
94,southern_cairngorms,2021-05-30 11:43:51,0,2978,98197,57703,606599,115898,6162,33734
95,beinn_dearg,2021-05-30 11:43:51,0,322,49679,14996,17731,11106,38,9789
96,northern_cairngorms,2022-09-01 11:21:19,1324595,0,0,0,0,0,0,0
97,monadh_liath,2022-09-01 11:21:19,851717,0,0,0,0,0,0,0
98,southern_cairngorms,2022-09-01 11:21:19,921271,0,0,0,0,0,0,0
99,beinn_dearg,2022-09-01 11:21:19,103661,0,0,0,0,0,0,0
100,northern_cairngorms,2021-04-22 11:33:09,2,167283,52276,15082,632469,407885,4417,45181
101,monadh_liath,2021-04-22 11:33:09,0,25515,12742,7615,538999,250364,673,15809
102,southern_cairngorms,2021-04-22 11:33:09,0,20525,101401,8242,559198,213507,6278,12120
103,beinn_dearg,2021-04-22 11:33:09,0,1062,737,46,56404,44747,25,640
104,northern_cairngorms,2020-09-21 11:21:19,1324595,0,0,0,0,0,0,0
105,monadh_liath,2020-09-21 11:21:19,851717,0,0,0,0,0,0,0
106,southern_cairngorms,2020-09-21 11:21:19,921271,0,0,0,0,0,0,0
107,beinn_dearg,2020-09-21 11:21:19,103661,0,0,0,0,0,0,0
108,northern_cairngorms,2023-04-15 11:43:49,0,187893,521547,57712,373881,167622,5603,10337
109,monadh_liath,2023-04-15 11:43:49,0,106150,54192,28541,379086,277626,622,5500
110,southern_cairngorms,2023-04-15 11:43:49,0,75218,465156,57263,234248,72911,3037,13438
111,beinn_dearg,2023-04-15 11:43:49,0,3774,98980,54,149,110,0,594
112,northern_cairngorms,2021-09-01 11:21:21,1324595,0,0,0,0,0,0,0
113,monadh_liath,2021-09-01 11:21:21,851717,0,0,0,0,0,0,0
114,southern_cairngorms,2021-09-01 11:21:21,921271,0,0,0,0,0,0,0
115,beinn_dearg,2021-09-01 11:21:21,103661,0,0,0,0,0,0,0
116,northern_cairngorms,2019-09-13 11:43:49,0,14048,421403,162641,583490,54752,883,87378
117,monadh_liath,2019-09-13 11:43:49,0,56787,527376,87093,108617,7580,51,64213
118,southern_cairngorms,2019-09-13 11:43:49,0,0,40455,51077,787365,21346,6457,14571
119,beinn_dearg,2019-09-13 11:43:49,0,0,68346,8513,9000,2891,0,14911
120,northern_cairngorms,2021-05-29 11:21:19,1324595,0,0,0,0,0,0,0
